ano_censo,dependencia_administrativa,localizacao,situacao_funcionamento,escolas,qt_mat_bas,qt_doc_bas,qt_tur_bas,matriculas_por_escola
2011,Municipal,Urbana,Ativa,54888,18029254.0,871333.0,755075.0,328.47350969246463
2011,Municipal,Urbana,Extinta,386,0.0,0.0,0.0,0.0
2011,Municipal,Urbana,Paralisada,3167,0.0,0.0,0.0,0.0
2011,Privada,Rural,Ativa,557,63463.0,4463.0,3684.0,113.93716337522442
2011,Privada,Rural,Extinta,41,0.0,0.0,0.0,0.0
2011,Privada,Rural,Paralisada,301,0.0,0.0,0.0,0.0
2011,Privada,Urbana,Ativa,36994,7855214.0,532233.0,430253.0,212.3375141914905
2011,Privada,Urbana,Extinta,1135,0.0,0.0,0.0,0.0
2011,Privada,Urbana,Paralisada,7588,0.0,0.0,0.0,0.0
2012,Estadual,Rural,Ativa,5690,884046.0,58887.0,45397.0,155.3683655536028
2012,Estadual,Rural,Extinta,311,0.0,0.0,0.0,0.0
2012,Estadual,Rural,Paralisada,1695,0.0,0.0,0.0,0.0
2012,Estadual,Urbana,Ativa,26037,17837870.0,805016.0,590307.0,685.0969773783462
2012,Estadual,Urbana,Extinta,176,0.0,0.0,0.0,0.0
2012,Estadual,Urbana,Paralisada,1503,0.0,0.0,0.0,0.0
2012,Federal,Rural,Ativa,67,36880.0,3205.0,1395.0,550.4477611940298
2012,Federal,Rural,Extinta,9,0.0,0.0,0.0,0.0
2012,Federal,Rural,Paralisada,4,0.0,0.0,0.0,0.0
2012,Federal,Urbana,Ativa,423,239556.0,20262.0,9025.0,566.3262411347517
2012,Federal,Urbana,Extinta,11,0.0,0.0,0.0,0.0
2012,Federal,Urbana,Paralisada,4,0.0,0.0,0.0,0.0
2012,Municipal,Rural,Ativa,67900,5091805.0,313700.0,303153.0,74.989764359352
2012,Municipal,Rural,Extinta,3034,0.0,0.0,0.0,0.0
2012,Municipal,Rural,Paralisada,27944,0.0,0.0,0.0,0.0
2012,Municipal,Urbana,Ativa,55844,18132674.0,910097.0,768107.0,324.7022777737984
2012,Municipal,Urbana,Extinta,334,0.0,0.0,0.0,0.0
2012,Municipal,Urbana,Paralisada,3249,0.0,0.0,0.0,0.0
2012,Privada,Rural,Ativa,570,66098.0,4596.0,3800.0,115.96140350877192
2012,Privada,Rural,Extinta,30,0.0,0.0,0.0,0.0
2012,Privada,Rural,Paralisada,296,0.0,0.0,0.0,0.0
2012,Privada,Urbana,Ativa,38164,8256121.0,557004.0,452423.0,216.33269573419977
2012,Privada,Urbana,Extinta,1115,0.0,0.0,0.0,0.0
2012,Privada,Urbana,Paralisada,7726,0.0,0.0,0.0,0.0
2013,Estadual,Rural,Ativa,5535,863243.0,61553.0,45634.0,155.96079494128276
2013,Estadual,Rural,Extinta,127,0.0,0.0,0.0,0.0
2013,Estadual,Rural,Paralisada,1691,0.0,0.0,0.0,0.0
2013,Estadual,Urbana,Ativa,25684,17063325.0,808059.0,573161.0,664.3562139853606
2013,Estadual,Urbana,Extinta,82,0.0,0.0,0.0,0.0
2013,Estadual,Urbana,Paralisada,1658,0.0,0.0,0.0,0.0
2013,Federal,Rural,Ativa,70,36502.0,3353.0,1354.0,521.4571428571429
2013,Federal,Rural,Paralisada,4,0.0,0.0,0.0,0.0
